Text,Score,PairID
"2 ਜੁਲਾਈ ਤੋਂ ਸ਼ੁਰੂ ਹੋ ਰਹੀ ਭਾਜਪਾ ਦੀ ਰਾਸ਼ਟਰੀ ਕਾਰਜਕਾਰਨੀ ਦੀ ਦੋ ਰੋਜ਼ਾ ਮੀਟਿੰਗ ਲਈ ਸੁਰੱਖਿਆ ਦੇ ਸਖਤ ਪ੍ਰਬੰਧ ਕੀਤੇ ਗਏ ਹਨ
ਇੱਥੇ ਕਿਸਾਨਾਂ ਦੇ ਵਿਸ਼ਾਲ ਮਾਰਚ ਦੇ ਮੱਦੇਨਜ਼ਰ ਪ੍ਰਸ਼ਾਸਨ ਵੱਲੋਂ ਸੁਰੱਖਿਆ ਦੇ ਸਖਤ ਪ੍ਰਬੰਧ ਕੀਤੇ ਗਏ ਹਨ",0.62,pan_test_00632
"ਭਗਵੰਤ ਮਾਨ ਨੇ ਕਿਹਾ ਕਿ ਇਸ ਉਪਰਾਲੇ ਨਾਲ ਸਮਾਜ ਦੇ ਇਸ ਵਰਗ ਦੇ ਲੋਕ ਇੱਜ਼ਤ ਨਾਲ ਆਪਣਾ ਜੀਵਨ ਬਤੀਤ ਕਰ ਸਕਣਗੇ
ਮੁੱਖ ਮੰਤਰੀ ਭਗਵੰਤ ਮਾਨ ਨੇ ਕਿਹਾ ਕਿ ਲੰਬੇ ਸਮੇਂ ਤੋਂ ਸਮਾਜ ਦੇ ਇਸ ਵਰਗ ਵੱਲੋਂ ਸਮਰਪਿਤ ਸੈੱਲ ਬਣਾਉਣ ਦੀ ਮੰਗ ਕੀਤੀ ਜਾ ਰਹੀ ਸੀ",0.75,pan_test_00618
"ਜਿਊਲਰ ਨੇ ਇਸ ਸਬੰਧੀ ਥਾਣਾ ਡਵੀਜ਼ਨ ਨੰ. 4 ਦੀ ਪੁਲਸ ਨੂੰ ਸ਼ਿਕਾਇਤ ਦਿੱਤੀ ਹੈ
ਉਸ ਨੇ ਤੁਰੰਤ ਥਾਣਾ ਡਵੀਜ਼ਨ ਨੰ. 4 ਨੂੰ ਇਸ ਦੀ ਸ਼ਿਕਾਇਤ ਦਿੱਤੀ",0.29,pan_test_00075
"ਭਾਰਤ ’ਚ 1 ਜੁਲਾਈ ਦੇ ਦਿਨ ਨੂੰ ਕੌਮੀ ਡਾਕਟਰ ਦਿਵਸ ਵਜੋਂ ਮਨਾਇਆ ਜਾਂਦਾ ਹੈ
ਇਹ ਦਿਵਸ ਬ੍ਰਾਜ਼ੀਲ ਵਿਚ 18 ਅਕਤੂਬਰ, ਅਮਰੀਕਾ ਅਤੇ ਆਸਟ੍ਰੇਲੀਆ ’ਚ 30 ਮਾਰਚ, ਕੁਵੈਤ 3 ਮਾਰਚ ਅਤੇ ਕੈਨੇਡਾ ’ਚ 1 ਮਈ ਨੂੰ ਮਨਾਇਆ ਜਾਂਦਾ ਹੈ",0.79,pan_test_00141
"ਕੰਪਨੀ ਨੂੰ ਇਹ ਪੁਰਸਕਾਰ ਦਿੱਲੀ ਦੇ ਵਿਗਿਆਨ ਭਵਨ ਵਿਖੇ ਹੋਏ ਇੱਕ ਸਮਾਰੋਹ ਦੌਰਾਨ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨਰਿੰਦਰ ਮੋਦੀ ਵੱਲੋਂ ਪ੍ਰਦਾਨ ਕੀਤੇ ਗਏ
ਨਵੀਂ ਦਿੱਲੀ : ਦੇਸ਼ ਦੇ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨਰਿੰਦਰ ਮੋਦੀ ਨੇ ਅੱਜ ਆਪਣੇ ਮਹੀਨਾਵਾਰ ਰੇਡੀਓ ਪ੍ਰੋਗਰਾਮ 'ਮਨ ਕੀ ਬਾਤ' ਜ਼ਰੀਏ ਦੇਸ਼ਵਾਸੀਆਂ ਨੂੰ ਸੰਬੋਧਨ ਕੀਤਾ",0.38,pan_dev_00058
"ਮਨਜੀਤ ਮੱਕੜ, ਗੁਰਾਇਆ : ਗੁਰਾਇਆ ਪੁਲਿਸ ਵੱਲੋਂ 11,250 ਐੱਮਐੱਲ ਨਾਜਾਇਜ਼ ਸ਼ਰਾਬ ਸਮੇਤ ਇਕ ਵਿਅਕਤੀ ਕਾਬੂ ਕੀਤਾ ਗਿਆ ਹੈ
ਪੱਤਰ ਪੇ੍ਰਰਕ, ਮਲੋਟ : ਥਾਣਾ ਸਿਟੀ ਮਲੋਟ ਪੁਲਿਸ ਵੱਲੋਂ ਨਸ਼ੀਲੀਆਂ ਗੋਲ਼ੀਆਂ ਤੇ ਡਰੱਗ ਮਨੀ ਸਮੇਤ ਇਕ ਅੌਰਤ ਨੂੰ ਗਿ੍ਫ਼ਤਾਰ ਕੀਤਾ ਗਿਆ ਹੈ",0.39,pan_test_00617
"ਜਿਸ ਨੂੰ ਪੁਲਿਸ ਵੱਲੋਂ ਅਪਣੇ ਕਬਜ਼ੇ ਵਿੱਚ ਲੈ ਕੇ ਐਨ.ਡੀ.ਪੀ.ਐਸ ਐਕਟ ਤਹਿਤ ਥਾਣਾ ਮਮਦੋਟ ਬਰਖਿਲਾਫ ਨਾਮਲੂਮ ਖਿਲਾਫ ਦਰਜ ਕੀਤਾ ਗਿਆ ਹੈ
ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਰੋਕੂ ਐਕਟ ਦੀ ਧਾਰਾ 7ਏ ਤਹਿਤ ਮੁਕੱਦਮਾ ਨੰਬਰ 08 ਮਿਤੀ 10.06.2022 ਨੂੰ ਥਾਣਾ ਵਿਜੀਲੈਂਸ ਬਿਊਰੋ, ਰੇਂਜ ਜਲੰਧਰ ਵਿਖੇ ਦਰਜ ਕੀਤਾ ਗਿਆ ਸੀ",0.5,pan_test_00406
"ਏਐਸਆਈ ਸ਼ਿਕਾਇਤਕਰਤਾ ਤੋਂ 3 ਹਜ਼ਾਰ ਰੁਪਏ ਹੋਰ ਰਿਸ਼ਵਤ ਦੀ ਮੰਗ ਕਰ ਰਿਹਾ ਸੀ
ਏਐਸਆਈ ਸ਼ਿਕਾਇਤਕਰਤਾ ਤੋਂ 3000 ਰੁਪਏ ਹੋਰ ਰਿਸ਼ਵਤ ਦੀ ਮੰਗ ਕਰ ਰਿਹਾ ਸੀ",0.25,pan_dev_00095
"ਪੁਲਸ ਮੁਤਾਬਕ ਜਵਾਨਾਂ ਨੇ ਗੋਲੀਬਾਰੀ ਦਾ ਕਾਰਨ ਝਗੜਾ ਦੱਸਿਆ ਹੈ ਪਰ ਇਹ ਕਿਸ ਗੱਲ ‘ਤੇ ਹੋਇਆ, ਇਸ ਦਾ ਅਜੇ ਪਤਾ ਨਹੀਂ ਲੱਗ ਸਕਿਆ ਹੈ
ਕਾਰਨ ਦਾ ਪਤਾ ਨਹੀਂ ਲੱਗ ਸਕਿਆ ਸੂਤਰਾਂ ਮੁਤਾਬਕ ਅੱਜ ਸਵੇਰੇ ਕਰੀਬ 5.30 ਵਜੇ ਜਵਾਨਾਂ ਵਿਚਾਲੇ ਗੋਲੀਬਾਰੀ ਹੋਈ",0.44,pan_dev_00036
"ਨਾਭਾ : ਅੱਜ ਸਫ਼ਾਈ ਸੇਵਕਾਂ ਵੱਲੋਂ ਨਾਭਾ ਦੇ ਆਮ ਆਦਮੀ ਪਾਰਟੀ ਦੇ ਵਿਧਾਇਕ ਗੁਰਦੇਵ ਸਿੰਘ ਮਾਨ ਦੇ ਦਫ਼ਤਰ ਦਾ ਘਿਰਾਓ ਕੀਤਾ
ਸਫ਼ਾਈ ਸੇਵਕ 'ਆਪ' ਵਿਧਾਇਕ ਗੁਰਦੇਵ ਮਾਨ ਦੇ ਦਫ਼ਤਰ ਅੱਗੇ ਗਰਜੇ",0.62,pan_dev_00145
