PairID,Text,Score
AFR-dev-24,"Hierdie prikkels word na die melkkoei se brein herlei, waar die hipofise (pituitêre klier) geleë is.
Ek wil voorstel jy raadpleeg jou algemene praktisyn of n seelkundige om die angs probleem to probeer oplos.",0.34
AFR-test-216,"Dié gesigvorm is ook kort en breed, met sagte vol wange en n opmerklike spits ken.
Hiedie Nokia is n staatmaker, en sal nog vir 20 jaar gebruik word.",0.16
AFR-dev-6,"Die WR het 74.5% van die subjekte korrek geklasifiseer met 'n sensitiwiteit van 93%.
Dit het 74.5% van die subjekte korrek geklassifiseer met 'n sensitiwiteit van 69%.",0.5
AFR-test-86,"Want van die 170 manne wat saam met Da Gama uitgevaar het, lewe nog slegs n derde.
Soos kinders wat hul pa respekteer en sy goeie naam in die wêreld wil eer aandoen.",0.34
AFR-test-300,"Ons wil graag elkeen bedank wat n bydrae gelewer het om die fees moontlik te maak.
Sonder borge sal so n fees ook nie moontlik wees nie.",0.75
AFR-dev-98,"Dit sluit buiten poste vir onderwysers ook dié vir skoolhoofde en departementshoofde in.
Die sluitingsdatum vir onderwysers is 14 September, terwyl aansoeke vir skoolhoofde en departementshoofde op 28 September sluit.",0.7
AFR-dev-95,"Neem asseblief ook van die volgende kennis voordat u die Argief besoek.
Neem asseblief kennis van die Versamelings Oorsig vir inligting rakende die versamelings wat in die Argief beskikbaar is.",0.78
AFR-dev-60,"Die kompetisie duur van 5 tot 25 Junie 2018 om middernag.
Deur in te skryf vir die kompetisie, stem die deelnemer in tot die bepalings en voorwaardes.",0.53
AFR-test-221,"AfriForum stel n burgerlike mosie van wantroue in president Jacob Zuma bekend.
AfriForum het n beroep op die breë publiek gedoen om die mosie van wantroue te ondersteun.",0.88
AFR-test-129,"Die vergelyking lewer n maksimum korrelasie faktor van 9.8 en n minimum van 3.9.
Nelson Mandela aan die spits, het die deure van n eens geslote en vyandige wêreld weer geopen.",0.16
AFR-dev-133,"Dit was geskryf deur Gideon Brückner, gelees deur François Haasbroek en skets deur Fred Mouton.
Dit is geskryf en gelees deur Toast Coetzer, skets deur Fred Mouton.",0.72
AFR-dev-367,"Die woord word gebruik om die Hebreeuse woord vir eer of heerlikheid te vertaal.
Laste en moeilikhede word met n ander Griekse woord vertaal.",0.5
AFR-dev-134,"MEP's het verlede week by die Europese Parlement gearresteer.
Die diagonaal van 'n reghoek is 25 cm meer as die wydte.",0.06
AFR-dev-246,"Gooi 'n lagie eiers oor die Miracle Whip.
Gooi nou 'n lagie fyn biltong oor die eiers.",0.47
AFR-dev-355,"Hy het glo van n vriend se huis af teruggekeer en nie besef hy ry te vinnig nie.
Jy kan 1 Mannetjie met 2 wyfies of 'n trio wat 2 Mannetjies en 3 wyfies is.",0.09
AFR-dev-287,"Jy kan ook n koopbewys verdien vir elke vriend wat jy verwys en wat dan ietsie koop.
Hulle sal ook n koopbewys ontvang wat hulle op hulle eerste aankope kan gebruik.",0.72
AFR-dev-286,"Die keuse van die regte aanlyn sleutelwoord hulpmiddel vir Amazon soek optimalisering is 'n baie uitdagende taak.
Ek kan A Little Guesthouse met die grootste vertroue aanbeveel.",0.19
AFR-test-358,"Watter stad op die kaart is presies op die Greenwich-meridiaan geleë?
Afleidings oor die balans tussen Afrikaanse en Engelse titels bly n tameletjie.",0.19
AFR-dev-70,"Hulle is skaars n kilometer van die beskawing af.
Die drie kampplekke is skaars n kilometer van die Nossob-pad af.",0.56
AFR-dev-340,"Die status van die swartvlerkkorhaan (Afrotis afra) word amptelik as kwesbaar beskryf.
Dit is belangrik dat die swartvlerkkorhaan van die witvlerkkorhaan (A. afraoides) onderskei word.",0.66
AFR-test-109,"Ek sien Gordhan wil nou die SAA skoonmaak en eis die korruptes moet die geld terug betaal?
Waarom eis hulle altyd net die geld moet terug betaal word, maar selfs dit gebeur nie.",0.53
AFR-test-28,"Jankelow het ook in 2016 n derde plek in die SACEE-kompetisie behaal.
Hy het laas jaar aan die skoledebatkompetisie in Bratislava, Slowakye, deelgeneem en n 25ste plek behaal.",0.5
AFR-dev-15,"Die doel van die vervreemding van die grond was die oprigting van die nuwe hoë hof vir Mpumalanga.
Die munisipaliteit moes gevolglik n ander stuk grond aankoop vir die oprigting van die nuwe hoë hof.",0.59
AFR-test-1,"Venus beweeg tot 16 November agteruit deur jou beroepsone.
Venus, die plesierplaneet, beweeg die volgende sewe dae agteruit deur jou reissone.",0.75
AFR-dev-341,"Bedek dit met n klam doek en laat dit vir twee uur rys tot dit goed uitgerys is.
Bedek met kleefplastiek en laat staan dit op n warm plek om te rys.",0.53
AFR-test-281,"Ek het nog nooit n hond met soveel emosies gesien soos my ou Boesie nie.
Ou Toffie was n pragtige hond met die oulikste frons op sy voorkop.",0.69
AFR-test-319,"Sodra die ysstroom die see bereik, kalwe die ys weg en word n gletser-ysberg gebore.
Mettertyd is al wat gesien kan word n paar suile wat bo die see uitsteek.",0.53
AFR-dev-41,"As jy die videolesse eenmaal afgelaai het, is n internetverbinding nie meer nodig nie.
Wat jy nodig het, is n pad met al die nodige padborde en al die vinnige snelweë.",0.28
AFR-dev-281,"In min wildreservate in Afrika word so baie fotos geneem soos in die Masai Mara in Kenia.
Die nasionale vlag van Kameroen is op 20 Mei 1975 amptelik in gebruik geneem.",0.31
