Text,Score,PairID
"ਜਾਣਕਾਰੀ ਅਨਸਾਰ ਨਵੀਂ ਆਬਕਾਰੀ ਨੀਤੀ ਤਹਿਤ ਠੇਕਿਆਂ ਦੀ ਬੋਲੀ ਈ ਟੈਂਡਰਿੰਗ ਸਿਸਟਮ ਰਾਹੀ ਕੀਤੀ ਗਈ
ਨਵੀਂ ਆਬਕਾਰੀ ਨੀਤੀ ਤਹਿਤ ਪ੍ਰਚੂਨ ਠੇਕਿਆਂ ਨੂੰ ਸਵੇਰੇ 9:00 ਵਜੇ ਤੋਂ ਰਾਤ ਦੇ 12:00 ਵਜੇ ਤੱਕ ਕੰਮ ਕਰਨ ਦੀ ਇਜਾਜ਼ਤ ਦਿੱਤੀ ਗਈ ਹੈ",0.5,pan_test_00373
"ਮੁਕਾਰੀ ਨੇ ਕਿਹਾ ਕਿ ਆਮ ਆਦਮੀ ਪਾਰਟੀ ਦੀ ਸਰਕਾਰ ਬਣਦੇ ਹੀ ਇਹ ਸਮਝੋਤੇ ਰੱਦ ਕੀਤੇ ਜਾਣਗੇ ਅਤੇ ਬਿਜਲੀ ਸਸਤੀ ਕਰਨ ਲਈ ਰਾਹ ਪੱਧਰਾ ਕੀਤਾ ਜਾਵੇਗਾ
ਜਿਨ੍ਹਾਂ ਨੇ ਦਿੱਲੀ ਵਿੱਚ ਆਮ ਆਦਮੀ ਪਾਰਟੀ ਸਰਕਾਰ ਵੱਲੋਂ ਲੋਕਾਂ ਨੂੰ ਸਸਤੀ ਅਤੇ ਲੋਕਾਂ ਨੂੰ ਫ੍ਰੀ ਬਿਜਲੀ ਦੇਣ ਦਾ ਦਾਅਵਾ ਵੀ ਕੀਤਾ",0.62,pan_dev_00041
"ਕਿਹੋ ਜਿਹਾ ਬਦਲਾਅ ਆਇਆ ਹੈ?
ਕਿਹੋ ਜਿਹਾ ਬਦਲਾਅ ਆਇਆ ਹੈ?",1.0,PAN-aug-370
"ਇਸ ਸੰਦਰਭ ਵਿੱਚ ਉਨ੍ਹਾਂ ਨੇ ਐੱਫਡੀਆਈ, ਅਰਥਵਿਵਸਥਾ ਦਾ ਉਦਾਰੀਕਰਣ, ਵਪਾਰ ਕਰਨ ਵਿੱਚ ਅਸਾਨੀ ਤੇ ਭਾਰਤੀ ਅਰਥਵਿਵਸਥਾ ਦੀ ਪ੍ਰਤੀਯੋਗਤਾ ਦਾ ਜ਼ਿਕਰ ਕੀਤਾ।
ਇਸ ਸੰਦਰਭ ਵਿੱਚ ਉਨ੍ਹਾਂ ਨੇ ਐੱਫਡੀਆਈ, ਅਰਥਵਿਵਸਥਾ ਦਾ ਉਦਾਰੀਕਰਣ, ਵਪਾਰ ਕਰਨ ਵਿੱਚ ਅਸਾਨੀ ਤੇ ਭਾਰਤੀ ਅਰਥਵਿਵਸਥਾ ਦੀ ਪ੍ਰਤੀਯੋਗਤਾ ਦਾ ਜ਼ਿਕਰ ਕੀਤਾ।",1.0,PAN-aug-422
"ਇਸ ਟੀਮ ਵਿੱਚ ਮੁੱਖ ਤੌਰ 'ਤੇ ਸੀਨੀਅਰ ਮੈਂਬਰ ਆਈਜੀ ਕੁੰਵਰ ਪ੍ਰਤਾਪ ਸਿੰਘ ਸਮੇਤ ਐਸਐਸਪੀ ਕਪੂਰਥਲਾ ਅਤੇ ਐਸਪੀ ਫਾਜ਼ਿਲਕਾ ਵੀ ਸ਼ਾਮਲ ਸਨ
ਇਸ ਮੌਕੇ 'ਤੇ ਸਟੇਟ ਫੂਡ ਕਮਿਸ਼ਨ ਦੇ ਮੈਂਬਰ ਤੋਂ ਇਲਾਵਾ ਏ.ਐਫ.ਐਸ.ਓ ਮੀਨਾਂ ਬੈਂਸ, ਨਿਰੀਖਕ ਰਣਬੀਰ ਸਿੰਘ, ਨਿਰੀਖਕ ਸਤਵਿੰਦਰ ਸਿੰਘ ਵੀ ਹਾਜ਼ਰ ਸਨ",0.44,pan_dev_00024
"ਇਸ ਮੌਕੇ ਸੈਨਟਰੀ ਇੰਸਪੈਕਟਰ ਸੁਖਪਾਲ ਸਿੰਘ, ਗੁਰਸੇਵਕ ਸਿੰਘ, ਸੁਰੇਸ਼ ਕੁਮਾਰ ਅਤੇ ਥੋਕ ਦੇ ਵਪਾਰੀ ਆਦਿ ਹਾਜ਼ਰ ਸਨ
ਇਸ ਮੌਕੇ ਜਰਨੈਲ ਸਿੰਘ ਜੈਲੀ, ਗੁਰਪ੍ਰਰੀਤ ਸਿੰਘ, ਜਗਸੀਰ ਸਿੰਘ ਮਾਸਟਰ ਬਾਵਾ ਸਿੰਘ, ਸਤਿਗੁਰ ਸਿੰਘ ਛਾਜਲੀ, ਕਰਮਜੀਤ ਸਿੰਘ, ਗੋਰਾ ਸਿੰਘ ਆਦਿ ਹਾਜ਼ਰ ਸਨ",0.44,pan_test_00438
"ਤਖ਼ਤ ਸ੍ਰੀ ਪਟਨਾ ਸਾਹਿਬ ਦੇ ਜਥੇਦਾਰ ਗਿਆਨੀ ਰਣਜੀਤ ਸਿੰਘ ਜੀ ਵੀ ਪਹੁੰਚੇ ਹਨ
ਦਿੱਲੀ ਸਿੱਖ ਗੁਰਦੁਆਰਾ ਪ੍ਰਬੰਧਕ ਕਮੇਟੀ ਦੇ ਨਵੇਂ ਚੁਣੇ ਗਏ ਮੈਂਬਰਾਂ ਦਾ ਜਥੇਦਾਰ ਸ੍ਰੀ ਅਕਾਲ ਤਖ਼ਤ ਸਾਹਿਬ ਗਿਆਨੀ ਹਰਪ੍ਰੀਤ ਸਿੰਘ ਵੱਲੋਂ ਵੀ ਸਨਮਾਨ ਕੀਤਾ ਗਿਆ ਹੈ",0.25,pan_test_00450
"ਸ੍ਰੀ ਹਰਿਮੰਦਰ ਸਾਹਿਬ ਦੇ ਮੌਜੂਦਾ ਹੈਡ ਗ੍ਰੰਥੀ ਸਿੰਘ ਸਾਹਿਬ ਗਿਆਨੀ ਜਗਤਾਰ ਸਿੰਘ ਵੱਲੋਂ ਤਿੰਨ ਗ੍ਰੰਥੀ ਸਹਿਬਾਨਾਂ ਨੂੰ ਦਸਤਾਰ ਭੇਂਟ ਕੀਤੀ ਗਈ ਹੈ
ਦਿੱਲੀ ਸਿੱਖ ਗੁਰਦੁਆਰਾ ਪ੍ਰਬੰਧਕ ਕਮੇਟੀ ਦੇ ਨਵੇਂ ਚੁਣੇ ਗਏ ਮੈਂਬਰਾਂ ਦਾ ਜਥੇਦਾਰ ਸ੍ਰੀ ਅਕਾਲ ਤਖ਼ਤ ਸਾਹਿਬ ਗਿਆਨੀ ਹਰਪ੍ਰੀਤ ਸਿੰਘ ਵੱਲੋਂ ਵੀ ਸਨਮਾਨ ਕੀਤਾ ਗਿਆ ਹੈ",0.5,pan_test_00330
"ਪ੍ਰਧਾਨ ਮੰਤਰੀ, ਨਰੇਂਦਰ ਮੋਦੀ ਨੇ ਅੱਜ ਓਡੀਸ਼ਾ ਦੇ ਬਲਾਂਗੀਰ ਦਾ ਦੌਰਾ ਕੀਤਾ।
ਪ੍ਰਧਾਨ ਮੰਤਰੀ, ਨਰੇਂਦਰ ਮੋਦੀ ਨੇ ਅੱਜ ਓਡੀਸ਼ਾ ਦੇ ਬਲਾਂਗੀਰ ਦਾ ਦੌਰਾ ਕੀਤਾ।",1.0,PAN-aug-316
"ਮੈਂ ਜਨਤਾ ਦੀ ਉਸ ਸਮਰੱਥਾ ਨੂੰ ਵੀ ਸੌ-ਸੌ ਪ੍ਰਣਾਮ ਕਰਦਾ ਹਾਂ।
ਮੈਂ ਜਨਤਾ ਦੀ ਉਸ ਸਮਰੱਥਾ ਨੂੰ ਵੀ ਸੌ-ਸੌ ਪ੍ਰਣਾਮ ਕਰਦਾ ਹਾਂ।",1.0,PAN-aug-231
