PairID,Text,Score
ENG-train-1175,"A black and a brown dog are walking through the woods.
Brown and black dog tussle on grass.",0.69
ENG-train-0333,"Telemarketers who call numbers on the list after Oct. 1 could face fines of up to $11,000 per call.
Under the law, telemarketers who call numbers on the list can be fined up to $11,000 for each violation.",0.87
ENG-train-4105,"People walk outside of a building that has many murals painted on it.
A man is sitting on the edge of a parking lot that has graffiti on it.",0.34
ENG-train-3734,"In this one, Dragon Spear, I love Creel's dedication to her wonderful dress.
Dragon Spear is the last in the series.",0.38
ENG-train-2713,"With the exception of the funniest, it applies.
and enjoy the funniest moments with children",0.5
ENG-train-3025,"@realDonaldTrump No more Bush or Hillary Clinton
@GOP it's time you recognize @realDonaldTrump . This movement is real. #MakeAmericaGreatAgain",0.47
ENG-test-0472,"what ? i put a coin in every pudding .
what does it mean ?",0.27
ENG-train-1894,"A man is holding an umbrella.
Today is a great day for an umbrella.",0.59
ENG-train-0843,"Some statistical surveys were recently carried out into this phenomenon.
this phenomenon has recently been the subject of a statistical investigation.",0.75
ENG-train-1105,"The yacht's in her name and he's living on it.
she lives on a yacht that's written on her name.",0.72
ENG-train-4514,"Remember that story about a charismatic businessman who will lie to get into power from an obscure position? #Revelation
TY Michael @ASavageNation ""I'd do anything to help him; he's right, he's telling the truth"" @realDonaldTrump #BoycottMacys",0.28
ENG-train-3712,"Now that there's marriage equality, can we start working on equal rights for unborn children?
#Love does not delight in #evil, but #rejoices in the #truth ~1 Cor 3:6 #Loving requires always speaking truth #ProtestChildKilling",0.38
ENG-test-0673,"the mere decision to cut down without that decision has been enforced is therefore not sufficient .
the mere decision to fell the trees , without carrying this out , is therefore insufficient .",0.69
ENG-train-1343,"I... was acquainted... my sister was governess in his family.
we were... acquaintances... My sister was among them...",0.66
ENG-train-3559,"Gabriel of course is there specifically targeting her.
That's not saying that Aishlinn didn't put up a good resistance too Gabriel.",0.41
ENG-test-0465,"His program formerly aired weekdays from 2-4p.
On September 13, 2010, he began serving as host of ""7 Live,"" a new hour-long, weekday program on KGO-TV in San Francisco.",0.28
ENG-train-2300,"Look, I've got to work late tonight, I'm sorry.
I'm sorry, but I'll be late for work today.",0.53
ENG-train-1886,"Man in yellow helmet riding a Motorbike in a dirt arena.
Motocross biker in a black and yellow jumpsuit jumping a hill on his dirt bike.",0.59
ENG-train-3105,"The graffiti on the wall is bland and tasteless.
Two people are walking next to a wall with graffiti.",0.44
ENG-train-0388,"We will aid your safe entry into the palace.
we'll help you get to the palace safely.",0.84
ENG-test-0278,"she looks good but she's not confident.
Not all girls care about money.",0.33
ENG-train-0595,"You had answered my previous question. What a woman expects from a man she marries?
U had answred my Q: What a gul expect fr a boy when she get married?",0.81
ENG-test-0794,"Which made this more of a contemporary realistic setting... if I lived in that world.
It is also his job to shatter Josie's world.",0.33
ENG-test-0579,"She's never left her house and no one ever comes in except her mother and her nurse.
She does not plan for what happens next however.",0.46
ENG-train-2079,"five Indian boys play cricket with a bridge in the background.
An Indian man works on a textile in the background while an Indian women works with dyes in the foreground.",0.56
ENG-train-4382,"Child reaching out to take something from oddly dressed lady.
A small girl standing on one leg in the grass, with another child in the background.",0.31
ENG-train-2607,"Oh my god, Alyssa, are you freaking serious?!
We do see Alyssa begin to fall for her maker, Lysander.",0.5
ENG-train-3820,"Silver was strong, powerful, confident, and incredibly likable.
Despite what some of you might think of Silver, I actually liked her, too.",0.38
ENG-train-4142,"And this time he can't deny his desire for Leo Chapel.
Alasdair is sexy as sin and Leo is handsome and smart.",0.34
ENG-test-0907,"Its unsuccessful revolt against the crown led Cardinal Richelieu in 1632 to order that the castle and its walls should be demolished.
This was accomplished with the aid of artillery.",0.32
ENG-train-4636,"I'm a Pisces And a monkey
The Monkey looked down angrily.",0.25
ENG-train-2484,"Funeral of Oscar Pistorius' girlfriend Reeva Steenkamp takes place
Oscar Pistorius 'shot Steenkamp in bathroom'",0.53
ENG-train-4660,"Two asian females are doing a dance in native costume.
A woman in a green vest leans back with her eyes closed and mouth open.",0.25
ENG-train-4321,"Through out the beginning of the book, Riley and Eli get physical, really physical.
Especially everytime he calls Eli a ""Lucky fuck!"".",0.31
ENG-train-3786,"@HlLLARY @ToniforAsm Hillary for Prez = Obama's third term and that's the last thing we need!!
@randyprine @fabiaceae They know they're going to lose to HRC so they keep trying!",0.38
ENG-train-0076,"The sequel , Pikmin 2 , was released in 2004 .
Pikmin had a sequel called Pikmin 2 in 2004 for the GameCube as well .",0.94
ENG-train-0152,"Ew, Bridgette's drinking from the milk carton.
phew Bridgette drinks milk right out of the box.",0.91
ENG-train-3562,"A woman in speaking in a theater.
deleon speaking into a mic.",0.41
ENG-train-4376,"I say this, in part, because we finally get all the feels, but also because the story is just that good.
I may write a better review of this at some point, but right now, all I can think is... TYBALT!",0.31
ENG-test-2013,"I just have to say this - I LOVED TREMORS!!!
i just got 2 points answering this",0.32
ENG-dev-0093,"how the eagle was lost , no one knows .
one of martin scorsese 's best films .",0.44
ENG-train-0525,"I like Kelly Clarkson the best.
i like both but i would have to pick kelly clarkson",0.81
ENG-train-3265,"@politicspizza @RebeccahLouise @ProLifeYouth women being independent and making their own CHOICES
@gvandersee 100,000 (estimated) ozzie abortions of vulnerable, unwanted ""unlife"" right there. Value & Respect life. #deathpenalty",0.44
ENG-train-0475,"Let's let this play out in court.
Nothing is stopping this thing from playing out in court.",0.81
ENG-train-5011,"A woman wearing ear protection is firing a gun at an indoor shooting range.
A young child wearing a black hat has an acoustic guitar on his lap.",0.19
ENG-test-1353,"you want to disprove the roots of his whole life just so you can stop teaching your daughter at home ?
you want this guy to uproot his entire life just so you can get out of homeschooling your daughter ?",0.65
ENG-train-3901,"@WhiteHouse @POTUS All children except the millions that have been aborted #everylifematters
@mrprolife Complications come with all types of medical procedures, doesn't mean procedure itself should be banned. #DealWithIt",0.37
ENG-train-0163,"Dude, you gotta hook me up with a new phone.
man, I need a new phone from you.",0.91
ENG-train-4619,"And because the dialogue was so perfect, the characters really came to life.
And because I normally mention it, my favourite character of the book was Lex.",0.28
ENG-train-3595,"So many things about this book grabbed, and held, my attention.
I excitedly await the next book in the series .",0.41
ENG-test-0485,"when they start tryin to tease you about it
When they start trying to tease you about it,",0.87
ENG-train-4184,"An African woman with piercings, lots of necklaces and corn on her head.
A woman in a white coat and gold bracelet looks at a sheaf of papers.",0.31
ENG-train-0192,"A stronghold is a strongly fortified defensive structure .
Stronghold means castle or any other strongly fortified place .",0.91
ENG-train-3552,"call on the phone and ask her out
So just call around and ask.",0.41
ENG-train-4267,"At least 150 others were injured in Picher alone .
Picher is a city of Oklahoma in the United States .",0.31
ENG-test-0741,"For the first 18 books.
After that the more it lasted the worst it got.",0.35
ENG-test-0648,"Warrenville is a city in DuPage County , Illinois , United States .
Healdton is a city in Carter County , Oklahoma , United States .",0.6
ENG-train-1567,"Two young ladies sitting on a bench eating ice cream cones.
A young girl in a blue shirt is eating an ice cream cone.",0.62
ENG-test-0321,"If that is not OK with him say goodbye.
If he has an issue with that, you should end the relationship.",0.43
ENG-train-2740,"Josie doesn't fight the khui system like some of the others.
Like any reader addicted to this series, I have been anticipating Josie and Haeden's book like whoa.",0.5
ENG-train-0455,"CIA Director George Tenet said the two men were ""defined by dedication and courage.
[They] were defined by dedication and courage,"" said the CIA's director George Tenet.",0.84
ENG-train-1039,"It is obvious that many people do that.
but apparently a lot of people do.",0.72
ENG-test-1649,"She Has a Name received strong endorsement from Canadian activists, including MP Joy Smith, Ratanak International's Brian McConaghy, and IJM Canada's Jamie McIntosh.
The play's premiere and initial run were critically acclaimed.",0.3
ENG-train-1962,"Thus, RAVEN FLIGHT covers her finding teachers and getting training.
Raven Flight is Book 2 in the Shadowfell series.",0.59
ENG-train-0755,"Once closed , the IP address should be unblocked .
However , IP addresses should almost never be indefinitely blocked .",0.78
ENG-train-0116,"I'm black and found it funny.
I'm black and found it hilariously funny!!!",0.94
ENG-train-1960,"You need to leave her!
Tell her to leave you.",0.59
ENG-train-0501,"investigators claim the british company was a cia cover.
russian investigators stated that the british company was a cia cover.",0.81
ENG-test-1232,"Many automatically registering meteorological machines were devised by him.
From 1849 until his death, he edited the Jahrbuch of the Central Bureau at Vienna.",0.36
ENG-test-0319,"it is not i who force her to live in a cemetery .
zsabamari realy will live with you .",0.32
ENG-train-0271,"And now that you're together, it's just so great.
it's great that you guys are together.",0.88
ENG-train-4345,"[25] Germany, Estonia, Spain, France, Italy, the Netherlands, Finland and the United Kingdom.
the export bans declared by the United Kingdom, Italy and Spain are applicable.",0.31
ENG-train-1238,"A cute, light read, a bit predictable but still engaging.
Overall, it was an enjoyable read.",0.69
ENG-train-3436,"@ZekeJMiller @Reince @SharonDay GOP plan to stop Trump? LOL Maybe they can put up loser candidates like Romney, McCain and Jeb!
@RSherman_25 Join Twitter Trump brigade #onethousandtweets to support message #MakeAmericaGreatAgain @realDonaldTrump",0.41
ENG-test-2336,"They don't match very well.
This book is not a good example for teenage girls.",0.36
ENG-train-0411,"I'm not liking what I'm not hearing.
Gunn, I don't like what I don't hear.",0.84
ENG-test-2411,"still a really good plot line.
They get transported back to the past, in 1997 back when they were still seniors.",0.33
ENG-test-2089,"i was only eighteen years old .
i was only eighteen then .",0.72
ENG-test-1504,"And she has this insane inferiority complex throughout the whole book.
The characters are all really one dimensional and it was really hard to feel sympathy for her having to deal with her parent's divorce .",0.47
ENG-train-4006,"She was towed to Buenos Aires , Argentina and then to Kristiansand , Norway for repairs .
Mar del Plata is the most popular destination for conventions in Argentina after Buenos Aires .",0.34
ENG-test-1820,"This poison dart frog is confirmed to have killed humans who touched the wild frog directly .
The Golden Poison Dart Frog is so poisonous that is can kill 10 humans !",0.8
ENG-train-3146,"Paul Pena was an American singer , songwriter and guitarist of Cape Verdean descent .
Nehemiah Curtis `` Skip '' James was an American delta blues singer , guitarist , pianist and songwriter .",0.44
ENG-train-2518,"The Romance in this novel is basically a love triangle between Dez, Jace and Reese.
Jace or Reese, Jace or Reese.",0.5
ENG-test-0624,"A man is upside down on an outside gymnastics bar.
A barefoot man on a hill side is bent over.",0.28
ENG-train-4106,"the Enterprise continued to fly as a derelict wreck, its entire crew being hijacked!
If there is trouble, I'll scrap the entire enterprise.",0.34
ENG-train-4584,"the full moon is likely to remain underground.
They goes and dances up in the mountains every full moon.",0.28
ENG-train-2391,"A traffic cop direction traffic in a high population area.
Police are driving down the street in formation.",0.53
ENG-train-0807,"for me, pinoy big brother is one of the best realiry tv shows.=)
The reality show Big Brother is one of my favorite TV shows.",0.75
ENG-test-1742,"Not even halfway through listening to this book and I want to play it at double speed so I know what happens!
Finished listening in one day, on to book 3: Monsters of Men.",0.44
ENG-test-1033,"give me the little one .
give me the baby . -no !",0.61
ENG-train-1565,"This makes the Tipulidae the largest family of Diptera .
This means that the Tipulidae are the largest group of flies .",0.62
ENG-train-3484,"I wanted to know why Shiarra was being dragged into this, and the petty excuse just made my day!
As much as I want to strangle Shiarra I really like the other characters so I am sticking with it.",0.41
ENG-train-2523,"Yeah, yeah. Unless there's an emergency at the office.
if I don't have an emergency.",0.5
ENG-train-4923,"@Xxoax @HillaryClinton @MaryMorientes @BarackObama The whole #world is supporting you.
RT @FutureTXLeader: Who in #CorpusChristi is ready for #MarcoRubio in #2016 #Hooks #CC #Texas #TX #361 #KeepTexasRed #GOP #Tea...",0.22
ENG-train-2560,"Think more strongly about how to determine what you want to do.
what you got to do is set your mind back to the right path.",0.5
ENG-train-3089,"i like de niro, pacino, i like stanley tucci!
Do you mean, Robert De Niro in Scarface?",0.44
ENG-test-1766,"Noboru Nakayama is a former Japanese football player who has played for Cerezo Osaka .
Noboru Nakayama(born 7 July 1987)is a former Japanese football player .",0.6
ENG-train-2877,"Re Last: I can't get past this...why must abortion providers dismember a fetus alive? That just sounds...hideously inhumane.
A nation that kills its own children is a nation without hope. -Pope Saint John Paul II #ProLifeYouth #AllLivesMatter",0.47
ENG-train-0720,"Convection was also slow to build in , with little banding at first .
Convection redeveloped over a portion of the center , while banding features redeveloped as well .",0.78
ENG-test-0718,"From here onwards the book just seemed to rocket ahead until it reached its abrupt and startling conclusion.
This book just seemed very flat and boring.",0.47
ENG-test-0029,"Lipscomb is a city in Jefferson County , Alabama , United States .
Okemah is a city in Okfuskee County , Oklahoma , United States .",0.54
ENG-test-1747,"There are strict rules from their leaders about fitting in just enough but not making connections with time natives.
This book was just much shorter and much more entertaining.",0.36
ENG-train-4713,"I experienced the same thing last year.
Last year, a child tried to rip my face off.",0.25
ENG-train-3673,"Good film, by it on DVD when released!
I just watched the film on DVD.",0.38
ENG-train-5035,"A Mexican man going to dig up the dirt for plants in the field.
Young boy rinsing himself off, while taking a bath.",0.19
ENG-train-2148,"Anders Celsius was a Swedish astronomer .
Her mother , Irina , is Russian , and her father Swedish .",0.56
ENG-train-1527,"The blue-chip Dow Jones industrial average .DJI climbed 164 points, or 1.91 percent, to 8,765.38, brushing its highest levels since mid-January.
The blue-chip Dow Jones industrial average .DJI tacked on 97 points, or 1.14 percent, to 8,699.",0.66
ENG-train-3501,"The best is Aries and Torrent.
try a torrent website like isohunt.com",0.41
ENG-test-0193,"Three elderly women wearing coats and carrying purses are walking with their back to the camera.
A woman in a black jacket walking in black boots and jeans with a brown handbag on her shoulder.",0.44
ENG-train-0657,"Planning on playing the stock market, were you?
did you want to invest in the stock market?",0.78
ENG-train-1050,"Japan did enjoy friendly relations with Silla as well as formal relationships with Tang China .
At that time , Japan had friendly relations with Korea and China 's Tang Dynasty .",0.72
ENG-train-5057,"A strap across her belly monitored the contractions.
So, is that a monitored or a recorded system?",0.19
ENG-test-0267,"Other notable accolades for its alumni include 34 Emmy Awards, 7 Tony Awards, 8 Academy Awards, and 3 Saturn Awards.
Since 2012, Berklee College of Music has also operated a campus in Valencia, Spain.",0.29
ENG-train-5425,"Thalia was a woman who didn't need a big, strong man to save her.
The Heirs are predominantly English gentry who want to use the magic Sources to create a global English empire.",0.09
ENG-train-5246,"I am only a young person with a simple plan.
your fav song or Untitled by simple plan",0.16
ENG-train-2573,"It didn't flow very nicely and I was a little confused when Alice suddenly found herself in Neverland.
It was magical and full of wonder, just like in the original Alice in Wonderland.",0.5
ENG-test-1131,"i don't know the answer to this question, but the e-mail add i cheak the most would be, <EMAIL>
I do not the answer to the question, but the email address I check the most us <EMAIL>",0.69
ENG-train-1233,"China yuan weakens to 6.3282 against USD Monday
China's yuan weakens against USD for third day",0.69
ENG-test-2061,"A man looking into a train engine.
A man is sitting in a chair by a lake.",0.45
ENG-train-1207,"This broad definition would include newborns and other people who have not been exposed to theistic ideas .
This definition is very general and includes people who have never heard about theistic ideas .",0.69
ENG-train-0954,"The story follows Yuki, a high school senior with an unusual talent, she smells dead people.
Yuki was a great lead character.",0.75
ENG-train-2113,"Kodak expects earnings of 5 cents to 25 cents a share in the quarter.
Analysts surveyed by Thomson First Call had expected Kodak to earn 68 cents a share for the quarter.",0.56
ENG-test-1782,"Circumference is a special perimeter .
Select show to expand .",0.19
ENG-train-1314,"'I'm sure it was; but she's obviously made a full recovery.'
she certainly has suffered, but she has clearly recovered from it.",0.69
ENG-test-2046,"missing conditions in a condition
missing condition id in condition parameter",0.65
ENG-train-0890,"They're looking at each other!
Why are they looking at each other like that ?!?!",0.75
ENG-train-4034,"I really enjoy Shusterman's take on the afterlife, and how he slyly explains all sorts of phenomenon using the scaffolding of the Everlost.
He just possesses raw talent and an amazing imagination.",0.34
ENG-train-4998,"Jikji consists of two volumes .
The interlude consists of a silent film .",0.2
ENG-train-1458,"As others have said, ""ten of six"", though not used in many English speaking areas, would be understood as 5:50.
Ten of six"" probably means 5:50 but I have not heard it before.",0.66
ENG-test-1556,"The matter-of-fact banter he has with himself caught me off guard and then drew me in.
Craig is severely depressed, probably chronically so, and this book chronicles his decision to commit himself to psychiatric care.",0.35
ENG-train-2703,"You may even discover that it requires no great effort to enjoy.
Increase your effort and you will discover the optimal person.",0.5
ENG-train-0969,"This means that of snow melts down to of water .
At a certain temperature , snow melts away and becomes water .",0.75
ENG-train-2602,"Three women in bright colors and headdresses are holding love message cards.
Three women wearing black vests and gray shirts are talking outside of a building.",0.5
ENG-test-1335,"Resident man shovels a path of snow from his house.
A dark-skinned man in a white sports outfit plays basketball.",0.44
ENG-train-4304,"Congratulations @HillaryClinton on entering the 2016 race for President! You have the support of Jews all over the world!
This weekend is the Hillary For America Weekend of Action & I hope you'll participate. -L #California",0.31
ENG-train-4393,"I did figure out who was behind it all before it was revealed, but that didn't stop me from enjoying this book to the fullest.
And the couple did NOT disappoint!",0.3
ENG-train-3312,"I think this is the best Artemis since the eternity code.
I also didn't like that Artemis lied to Holly and got away with it.",0.43
ENG-dev-0073,"well , from my point of view , i guess this is quahog , but it 's no ice age .
from the look of it , i 'm guessing this is quahog but during some sort of ice age .",0.5
ENG-train-0791,"Look it up in the dictionary.
Search in a Latin dictionary.",0.78
ENG-test-1064,"the agency will take care of your responsibilities and responsibilities .
the agency will take care of your chores and your homework .",0.67
ENG-train-5415,"Just so I get the good stuff out of the way before I enter my full-fledged rant.
Fairytales don't all just end in happily ever after.",0.09
ENG-train-4411,"The color indicates the salinity of the ponds .
These are alike , except for the color of the seed .",0.28
ENG-train-2195,"One of my favorites in this series, I've read it many times.
A great way to finish the first part of this series.",0.56
ENG-train-0572,"The population was 1,037 at the 2000 census .
1,037 people were living in Poygan as of the 2000 census .",0.81
