PairID,Text,Score
ENG-train-4316,"They both look like their father.
My father works on PBS television.",0.31
AFR-dev-111,"Daar sal ook 'n slaglamkompetisie Donderdag 11 Februarie, van 09:00 gehou word.
Woensdagaand 10 Februarie sal raakrugby aangebied word en 'n interskole toutrekkompetisie word Donderdagaand 11 Februarie gehou.",0.47
ENG-train-4116,"The Democrats just gave the most chilling reply when asked if they support aborting 7-pound babies
@JustinTrudeau I also support Men's wrongs as well as Women's rights #Standforchoice #womensrights",0.34
MAR-dev-00245,"""या प्रकारच्या विचारसरणीमुळे आपले राजकारण, आपले प्रशासन आणि आपल्या समाजाला दीमकांचा त्रास झाला आहे.""
""आपले राजकारण, आपले प्रशासन आणि आपल्या संपूर्ण समाजात भ्रष्टाचार वाळवी प्रमाणे पसरतो आहे.""",0.86
pan_dev_00213,"ਪੰਜਾਬ ਦੇ ਨਵੇਂ ਡੀਜੀਪੀ ਦੇ ਅਹੁਦੇ ਲਈ ਗੌਰਵ ਯਾਦਵ, ਹਰਪ੍ਰੀਤ ਸਿੱਧੂ, ਐਸਐਸ ਚੌਹਾਨ, ਅਤੇ ਸੰਜੀਵ ਕਾਲੜਾ ਦੇ ਨਾਵਾਂ ਦੀ ਚਰਚਾ ਹੋ ਰਹੀ ਹੈ
ਡੀਜੀਪੀ ਐਸਟੀਐਫ ਹਰਪ੍ਰੀਤ ਸਿੰਘ ਸਿੱਧੂ ਅਤੇ ਡੀਜੀਪੀ ਸੰਜੀਵ ਕਾਲੜਾ ਦੇ ਨਾਂ ਵੀ ਇਸ ਚਰਚਾ ਵਿੱਚ ਹਨ",0.71
AFR-test-216,"Dié gesigvorm is ook kort en breed, met sagte vol wange en n opmerklike spits ken.
Hiedie Nokia is n staatmaker, en sal nog vir 20 jaar gebruik word.",0.16
ENG-train-5171,"but she does have a cell phone.
I started listening to this audiobook with my 12 year-old niece and she DEVOURED it faster than me!",0.16
pan_test_00457,"ਵਿਧਾਨ ਸਭਾ ਚੋਣਾਂ 'ਚ ਲੀਗਲ ਸੈੱਲ ਤੇ ਵਕੀਲ ਭਾਈਚਾਰੇ ਦਾ ਅਹਿਮ ਰੋਲ ਹੋਵੇਗਾ
ਇਸ ਮੌਕੇ ਜ਼ਿਲ੍ਹਾ ਕਨਵੀਨਰ ਬੀਜੇਪੀ ਲੀਗਲ ਸੈੱਲ ਐਡਵੋਕੇਟ ਰਣਜੀਤ ਸਿੰਘ ਰਾਣਾ ਨੇ ਦੱਸਿਆ ਕਿ ਭਵਿੱਖ ਦੀਆਂ ਵਿਧਾਨ ਸਭਾ ਚੋਣਾਂ ਸਬੰਧੀ ਅਹਿਮ ਵਿਚਾਰਾਂ ਕੀਤੀਆਂ ਗਈਆਂ",0.56
pan_dev_00041,"ਮੁਕਾਰੀ ਨੇ ਕਿਹਾ ਕਿ ਆਮ ਆਦਮੀ ਪਾਰਟੀ ਦੀ ਸਰਕਾਰ ਬਣਦੇ ਹੀ ਇਹ ਸਮਝੋਤੇ ਰੱਦ ਕੀਤੇ ਜਾਣਗੇ ਅਤੇ ਬਿਜਲੀ ਸਸਤੀ ਕਰਨ ਲਈ ਰਾਹ ਪੱਧਰਾ ਕੀਤਾ ਜਾਵੇਗਾ
ਜਿਨ੍ਹਾਂ ਨੇ ਦਿੱਲੀ ਵਿੱਚ ਆਮ ਆਦਮੀ ਪਾਰਟੀ ਸਰਕਾਰ ਵੱਲੋਂ ਲੋਕਾਂ ਨੂੰ ਸਸਤੀ ਅਤੇ ਲੋਕਾਂ ਨੂੰ ਫ੍ਰੀ ਬਿਜਲੀ ਦੇਣ ਦਾ ਦਾਅਵਾ ਵੀ ਕੀਤਾ",0.62
ENG-train-5123,"a little boy trying to climb up.
Two young children are hugging.",0.19
